Confidence_Bin,Number_of_Predictions,Accuracy,Mean_Confidence,Error_Rate
0.50-0.60,38215,0.554755985869423,0.5504366732625473,0.445244014130577
0.60-0.70,42177,0.6680181141380374,0.6515628262364722,0.33198188586196264
0.70-0.80,49945,0.7705876464110522,0.7517399140747745,0.22941235358894785
0.80-0.90,66294,0.8700033185506985,0.8532311918177444,0.12999668144930154
0.90-0.95,47233,0.9277623695297779,0.9261898911942851,0.07223763047022214
0.95-1.00,75418,0.9707364289692116,0.9780849826182549,0.02926357103078836
