Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Brier_Score
Logistic Regression,0.8233881020539836,0.8181409110522099,0.8315550738348381,0.824793455193992,0.9024206164666398,0.9031129760301034,0.12590808021463795
Linear SVM,0.8129991668806885,0.8087761699602545,0.8197515239986718,0.8142268631453179,0.8931557287519389,0.8916219786640865,
Multinomial Naive Bayes,0.8037346295751091,0.8098580295446846,0.7937636658668153,0.8017300840995526,0.8854818973552173,0.8844172885336222,0.14048556872429876
